Score,Match_addr,ICO,ZNACKA,NAZEV,ULICE,PSC,MESTO,OKRES,KRAJ,rok,addr,PNTCNT
100.000000000000000,"Politických vězňů 40, Beroun 26601",49621173,BENU,BENU Lékárna,Politických vězňů 40,26601,Beroun,,,2015,"Politických vězňů 40, Beroun 26601",407
100.000000000000000,"Pražská 206, Bílina 41801",49621173,BENU,BENU Lékárna,Pražská 206/95,41801,Bílina,,,2015,"Pražská 206, Bílina 41801",121
100.000000000000000,"Jugoslávská 768, Brno 61300",49621173,BENU,BENU Lékárna,Jugoslávská 768/9,61300,Brno,,,2015,"Jugoslávská 768, Brno 61300",875
100.000000000000000,"Lidická 42, Brno 60200",49621173,BENU,BENU Lékárna,Lidická 42,60200,Brno,,,2015,"Lidická 42, Brno 60200",817
100.000000000000000,"Makovského náměstí 3147, Brno 61600",49621173,BENU,BENU Lékárna,Makovského náměstí 3147/2,61600,Brno,,,2015,"Makovského náměstí 3147, Brno 61600",606
100.000000000000000,"Skandinávská 128, Brno 61900",49621173,BENU,BENU Lékárna,"Skandinávská 128/2, OC Avion",61900,Brno,,,2015,"Skandinávská 128, Brno 61900",9
92.500000000000000,"Vídeňská 819, Brno 63900",49621173,BENU,BENU Lékárna,Vídeňská 89a,63900,Brno,,,2015,"Vídeňská 89a, Brno 63900",444
85.329999999999998,"náměstí 5. května , Čelákovice 25088",49621173,BENU,BENU Lékárna,Náměstí 5.května,25088,Čelákovice,,,2015,"Náměstí 5.května, Čelákovice 25088",323
100.000000000000000,"Borská 3215, Česká Lípa 47001",49621173,BENU,BENU Lékárna,Borská 3215,47001,Česká Lípa,,,2015,"Borská 3215, Česká Lípa 47001",483
100.000000000000000,"Masarykova 1293, Česká Třebová 56002",49621173,BENU,BENU Lékárna,Masarykova 1293,56002,Česká Třebová,,,2015,"Masarykova 1293, Česká Třebová 56002",339
100.000000000000000,"Lannova tř. 50, České Budějovice 37001",49621173,BENU,BENU Lékárna,Lannova tř. 50/21,37001,České Budějovice,,,2015,"Lannova tř. 50, České Budějovice 37001",461
100.000000000000000,"Na Mlýnské stoce 290, České Budějovice 37001",49621173,BENU,BENU Lékárna,Na Mlýnské stoce 290/10,37001,České Budějovice,,,2015,"Na Mlýnské stoce 290, České Budějovice 37001",585
100.000000000000000,"Senovážné nám. 1616, České Budějovice 37001",49621173,BENU,BENU Lékárna,Senovážné nám. 1616,37001,České Budějovice,,,2015,"Senovážné nám. 1616, České Budějovice 37001",392
