Score,Match_addr,ICO,ZNACKA,NAZEV,ULICE,PSC,MESTO,OKRES,KRAJ,rok,addr,PNTCNT
100.000000000000000,"Obchodní 250, Beroun 26601",26230071,Dr.Max,Dr.Max LÉKÁRNA,Obchodní 250,26601,Beroun,,,2015,"Obchodní 250, Beroun 26601",182
100.000000000000000,"Politických vězňů 40, Beroun 26601",49621173,BENU,BENU Lékárna,Politických vězňů 40,26601,Beroun,,,2015,"Politických vězňů 40, Beroun 26601",407
100.000000000000000,"Pražská 206, Bílina 41801",49621173,BENU,BENU Lékárna,Pražská 206/95,41801,Bílina,,,2015,"Pražská 206, Bílina 41801",121
100.000000000000000,"Seifertova 1683, Blansko 67801",26230071,Dr.Max,Dr.Max LÉKÁRNA,Seifertova 1683/6a,67801,Blansko,,,2015,"Seifertova 1683, Blansko 67801",250
100.000000000000000,"tř. J. P. Koubka 110, Blatná 38801",26230071,Dr.Max,Dr.Max LÉKÁRNA,tř. J. P. Koubka 110,38801,Blatná,,,2015,"tř. J. P. Koubka 110, Blatná 38801",269
100.000000000000000,"9. května 1197, Bohumín 73581",26230071,Dr.Max,Dr.Max LÉKÁRNA,9. května 1197,73581,Bohumín,,,2015,"9. května 1197, Bohumín 73581",391
100.000000000000000,"Čáslavská 1176, Bohumín 73581",25319141,Agel,LÉKÁRNA AGEL,Čáslavská 1176,73581,Bohumín,,,2015,"Čáslavská 1176, Bohumín 73581",738
91.430000000000007,"nám. T. G. Masaryka 943, Bohumín 73581",25319141,Agel,LÉKÁRNA AGEL,T. G. Masaryka 943,73581,Bohumín,,,2015,"T. G. Masaryka 943, Bohumín 73581",457
100.000000000000000,"Rovná 4, Boskovice 68001",26230071,Dr.Max,Dr.Max LÉKÁRNA,Rovná 4,68001,Boskovice,,,2015,"Rovná 4, Boskovice 68001",36
100.000000000000000,"Bašty 413, Brno 60200",26230071,Dr.Max,Dr.Max LÉKÁRNA,Bašty 413/2,60200,Brno,,,2015,"Bašty 413, Brno 60200",429
100.000000000000000,"Bednaříkova 2893, Brno 62800",26230071,Dr.Max,Dr.Max LÉKÁRNA,Bednaříkova 2893/1a,62800,Brno,,,2015,"Bednaříkova 2893, Brno 62800",672
96.250000000000000,"Hradecká 408, Brno 62100",26230071,Dr.Max,Dr.Max LÉKÁRNA,Hradecká 40,62100,Brno,,,2015,"Hradecká 40, Brno 62100",38
